Year,District,crime_type,Number,,,,,,
2019,Northern,HOMICIDE,5,,,,,,
2019,Northern,RAPE,44,,,,,,
2019,Northern,ROBBERY,375,,,,,,
2019,Northern,ASSAULT,265,,,,,,
2019,Northern,HUMAN TRAFFICKING – SEX ACT,0,,,,,,
2019,Northern,HUMAN TRAFFICKING – INV SERV,0,,,,,,
2019,Northern,BURGLARY,883,,,,,,
2019,Northern,MOTOR VEHICLE THEFT,513,,,,,,
2019,Northern,ARSON,31,,,,,,
2019,Northern,LARCENY THEFT,"8,196",,,,,,
2018,Northern,HOMICIDE,1,,,,,,
2018,Northern,RAPE,45,,,,,,
2018,Northern,ROBBERY,369,,,,,,
2018,Northern,ASSAULT,258,,,,,,
2018,Northern,HUMAN TRAFFICKING – SEX ACT,3,,,,,,
2018,Northern,HUMAN TRAFFICKING – INV SERV,0,,,,,,
2018,Northern,BURGLARY,820,,,,,,
2018,Northern,MOTOR VEHICLE THEFT,496,,,,,,
2018,Northern,ARSON,23,,,,,,
2018,Northern,LARCENY THEFT,"7,502",,,,,,
2019,Park,HOMICIDE,0,,,,,,
2019,Park,RAPE,9,,,,,,
2019,Park,ROBBERY,59,,,,,,
2019,Park,ASSAULT,73,,,,,,
2019,Park,HUMAN TRAFFICKING – SEX ACT,1,,,,,,
2019,Park,HUMAN TRAFFICKING – INV SERV,0,,,,,,
2019,Park,BURGLARY,280,,,,,,
2019,Park,MOTOR VEHICLE THEFT,259,,,,,,
2019,Park,ARSON,8,,,,,,
2019,Park,LARCENY THEFT,"1,886",,,,,,
2018,Park,HOMICIDE,1,,,,,,
2018,Park,RAPE,17,,,,,,
2018,Park,ROBBERY,70,,,,,,
2018,Park,ASSAULT,85,,,,,,
2018,Park,HUMAN TRAFFICKING – SEX ACT,1,,,,,,
2018,Park,HUMAN TRAFFICKING – INV SERV,0,,,,,,
2018,Park,BURGLARY,325,,,,,,
2018,Park,MOTOR VEHICLE THEFT,259,,,,,,
2018,Park,ARSON,9,,,,,,
2018,Park,LARCENY THEFT,"1,868",,,,,,
2019,Richmond,HOMICIDE,0,,,,,,
2019,Richmond,RAPE,19,,,,,,
2019,Richmond,ROBBERY,98,,,,,,
2019,Richmond,ASSAULT,83,,,,,,
2019,Richmond,HUMAN TRAFFICKING – SEX ACT,0,,,,,,
2019,Richmond,HUMAN TRAFFICKING – INV SERV,0,,,,,,
2019,Richmond,BURGLARY,340,,,,,,
2019,Richmond,MOTOR VEHICLE THEFT,331,,,,,,
2019,Richmond,ARSON,5,,,,,,
2019,Richmond,LARCENY THEFT,"3,699",,,,,,
2018,Richmond,HOMICIDE,1,,,,,,
2018,Richmond,RAPE,12,,,,,,
2018,Richmond,ROBBERY,97,,,,,,
2018,Richmond,ASSAULT,76,,,,,,
2018,Richmond,HUMAN TRAFFICKING – SEX ACT,0,,,,,,
2018,Richmond,HUMAN TRAFFICKING – INV SERV,0,,,,,,
2018,Richmond,BURGLARY,286,,,,,,
2018,Richmond,MOTOR VEHICLE THEFT,257,,,,,,
2018,Richmond,ARSON,21,,,,,,
2018,Richmond,LARCENY THEFT,"3,042",,,,,,
2019,Southern,HOMICIDE,1,,,,,,
2019,Southern,RAPE,61,,,,,,
2019,Southern,ROBBERY,351,,,,,,
2019,Southern,ASSAULT,287,,,,,,
2019,Southern,HUMAN TRAFFICKING – SEX ACT,3,,,,,,
2019,Southern,HUMAN TRAFFICKING – INV SERV,0,,,,,,
2019,Southern,BURGLARY,677,,,,,,
2019,Southern,MOTOR VEHICLE THEFT,463,,,,,,
2019,Southern,ARSON,26,,,,,,
2019,Southern,LARCENY THEFT,"4,703",,,,,,
2018,Southern,HOMICIDE,2,,,,,,
2018,Southern,RAPE,77,,,,,,
2018,Southern,ROBBERY,321,,,,,,
2018,Southern,ASSAULT,322,,,,,,
2018,Southern,HUMAN TRAFFICKING – SEX ACT,32,,,,,,
2018,Southern,HUMAN TRAFFICKING – INV SERV,0,,,,,,
2018,Southern,BURGLARY,863,,,,,,
2018,Southern,MOTOR VEHICLE THEFT,520,,,,,,
2018,Southern,ARSON,27,,,,,,
2018,Southern,LARCENY THEFT,"5,906",,,,,,
2019,Taraval,HOMICIDE,2,,,,,,
2019,Taraval,RAPE,32,,,,,,
2019,Taraval,ROBBERY,143,,,,,,
2019,Taraval,ASSAULT,125,,,,,,
